i,j,score,name_score,addr_score,reason
61359,61524,90.0,100.0,10.294117647058822,exact_normal
61359,61524,90.0,100.0,10.294117647058822,exact_normal
61832,65326,77.5,95.0,100.0,fuzzy_normal
61942,62317,90.0,100.0,10.9375,exact_normal
61942,62317,90.0,100.0,10.9375,exact_normal
61942,62317,90.0,100.0,10.9375,exact_normal
66234,94465,90.0,100.0,12.25806451612903,exact_normal
66234,94465,90.0,100.0,12.25806451612903,exact_normal
66234,94465,90.0,100.0,12.25806451612903,exact_normal
63243,68669,90.0,100.0,10.97560975609756,exact_normal
63243,68669,90.0,100.0,10.97560975609756,exact_normal
63243,68669,90.0,100.0,10.97560975609756,exact_normal
66460,71010,93.33333333333333,100.0,21.375,exact_normal
66460,71010,93.33333333333333,100.0,21.375,exact_normal
66460,71010,93.33333333333333,100.0,21.375,exact_normal
65800,89352,90.0,100.0,14.516129032258062,exact_normal
65800,89352,90.0,100.0,14.516129032258062,exact_normal
65800,89352,90.0,100.0,14.516129032258062,exact_normal
66210,93173,93.33333333333333,100.0,21.375,exact_normal
66210,93173,93.33333333333333,100.0,21.375,exact_normal
66210,93173,93.33333333333333,100.0,21.375,exact_normal
66219,66448,93.33333333333333,100.0,59.72222222222222,exact_normal
66219,66448,93.33333333333333,100.0,59.72222222222222,exact_normal
66219,66448,93.33333333333333,100.0,59.72222222222222,exact_normal
68079,68087,93.33333333333333,100.0,61.29032258064516,exact_normal
68079,68087,93.33333333333333,100.0,61.29032258064516,exact_normal
68079,68087,93.33333333333333,100.0,61.29032258064516,exact_normal
69283,86096,90.0,100.0,9.375,exact_normal
69283,86096,90.0,100.0,9.375,exact_normal
69283,86096,90.0,100.0,9.375,exact_normal
71321,72836,90.0,100.0,9.45945945945946,exact_normal
71321,72836,90.0,100.0,9.45945945945946,exact_normal
71321,72836,90.0,100.0,9.45945945945946,exact_normal
69308,69311,90.0,100.0,16.666666666666668,exact_normal
69308,69311,90.0,100.0,16.666666666666668,exact_normal
69308,69311,90.0,100.0,16.666666666666668,exact_normal
70010,88299,90.0,100.0,14.0625,exact_normal
70010,88299,90.0,100.0,14.0625,exact_normal
70010,88299,90.0,100.0,14.0625,exact_normal
70292,70293,90.0,100.0,12.5,exact_normal
70292,70293,90.0,100.0,12.5,exact_normal
70292,70293,90.0,100.0,12.5,exact_normal
70714,70715,90.0,100.0,13.79032258064516,exact_normal
70714,70715,90.0,100.0,13.79032258064516,exact_normal
70714,70715,90.0,100.0,13.79032258064516,exact_normal
71255,71716,93.33333333333333,100.0,21.375,exact_normal
71255,71716,93.33333333333333,100.0,21.375,exact_normal
71255,71716,93.33333333333333,100.0,21.375,exact_normal
71892,88807,93.33333333333333,100.0,21.375,exact_normal
71892,88807,93.33333333333333,100.0,21.375,exact_normal
71892,88807,93.33333333333333,100.0,21.375,exact_normal
72102,72400,93.33333333333333,100.0,62.5,exact_normal
72102,72401,93.33333333333333,100.0,21.375,exact_normal
72400,72401,93.33333333333333,100.0,21.375,exact_normal
72102,72400,93.33333333333333,100.0,62.5,exact_normal
72102,72401,93.33333333333333,100.0,21.375,exact_normal
72400,72401,93.33333333333333,100.0,21.375,exact_normal
72102,72400,93.33333333333333,100.0,62.5,exact_normal
72102,72401,93.33333333333333,100.0,21.375,exact_normal
72400,72401,93.33333333333333,100.0,21.375,exact_normal
73327,73328,75.0,90.0,100.0,fuzzy_normal
86452,87718,90.0,100.0,11.627906976744187,exact_normal
86452,87718,90.0,100.0,11.627906976744187,exact_normal
86452,87718,90.0,100.0,11.627906976744187,exact_normal
73998,74071,90.0,100.0,10.526315789473683,exact_normal
73998,74071,90.0,100.0,10.526315789473683,exact_normal
73998,74071,90.0,100.0,10.526315789473683,exact_normal
74206,74207,90.0,100.0,9.210526315789474,exact_normal
74206,74207,90.0,100.0,9.210526315789474,exact_normal
74206,74207,90.0,100.0,9.210526315789474,exact_normal
74576,78433,90.0,100.0,11.842105263157896,exact_normal
74576,78433,90.0,100.0,11.842105263157896,exact_normal
74576,78433,90.0,100.0,11.842105263157896,exact_normal
74881,91981,90.0,100.0,13.333333333333334,exact_normal
74881,91981,90.0,100.0,13.333333333333334,exact_normal
74881,91981,90.0,100.0,13.333333333333334,exact_normal
74875,75016,90.0,100.0,12.5,exact_normal
74875,75016,90.0,100.0,12.5,exact_normal
74875,75016,90.0,100.0,12.5,exact_normal
83819,98667,90.0,100.0,12.962962962962965,exact_normal
83819,98667,90.0,100.0,12.962962962962965,exact_normal
83819,98667,90.0,100.0,12.962962962962965,exact_normal
80173,92421,90.0,100.0,12.162162162162163,exact_normal
80173,92421,90.0,100.0,12.162162162162163,exact_normal
80173,92421,90.0,100.0,12.162162162162163,exact_normal
76948,96441,90.0,100.0,11.176470588235295,exact_normal
76948,96441,90.0,100.0,11.176470588235295,exact_normal
76948,96441,90.0,100.0,11.176470588235295,exact_normal
78302,83022,93.33333333333333,100.0,21.375,exact_normal
78302,83022,93.33333333333333,100.0,21.375,exact_normal
78302,83022,93.33333333333333,100.0,21.375,exact_normal
78915,78984,93.33333333333333,100.0,61.53846153846154,exact_normal
78915,78984,93.33333333333333,100.0,61.53846153846154,exact_normal
78915,78984,93.33333333333333,100.0,61.53846153846154,exact_normal
79896,80549,90.0,100.0,9.523809523809524,exact_normal
79896,80549,90.0,100.0,9.523809523809524,exact_normal
79896,80549,90.0,100.0,9.523809523809524,exact_normal
80390,80391,76.42857142857143,92.85714285714286,100.0,fuzzy_normal
81222,87201,90.0,100.0,10.869565217391305,exact_normal
81222,87201,90.0,100.0,10.869565217391305,exact_normal
81222,87201,90.0,100.0,10.869565217391305,exact_normal
80729,80948,93.33333333333333,100.0,59.89583333333333,exact_normal
80729,80948,93.33333333333333,100.0,59.89583333333333,exact_normal
80729,80948,93.33333333333333,100.0,59.89583333333333,exact_normal
81085,81463,90.0,100.0,9.134615384615383,exact_normal
81085,81463,90.0,100.0,9.134615384615383,exact_normal
81085,81463,90.0,100.0,9.134615384615383,exact_normal
81420,84770,75.0,90.0,100.0,fuzzy_normal
81464,84802,90.0,100.0,9.642857142857144,exact_normal
81464,84802,90.0,100.0,9.642857142857144,exact_normal
81464,84802,90.0,100.0,9.642857142857144,exact_normal
82010,85005,90.0,100.0,15.83333333333333,exact_normal
82010,85005,90.0,100.0,15.83333333333333,exact_normal
82010,85005,90.0,100.0,15.83333333333333,exact_normal
92924,95481,93.33333333333333,100.0,55.4054054054054,exact_normal
92924,95481,93.33333333333333,100.0,55.4054054054054,exact_normal
92924,95481,93.33333333333333,100.0,55.4054054054054,exact_normal
82652,97983,93.33333333333333,100.0,21.375,exact_normal
82652,97983,93.33333333333333,100.0,21.375,exact_normal
82652,97983,93.33333333333333,100.0,21.375,exact_normal
83109,92606,90.0,100.0,12.5,exact_normal
83109,92606,90.0,100.0,12.5,exact_normal
83109,92606,90.0,100.0,12.5,exact_normal
83834,99062,90.0,100.0,7.5,exact_normal
83834,99062,90.0,100.0,7.5,exact_normal
83834,99062,90.0,100.0,7.5,exact_normal
93669,93671,93.33333333333333,100.0,62.5,exact_normal
93669,93671,93.33333333333333,100.0,62.5,exact_normal
93669,93671,93.33333333333333,100.0,62.5,exact_normal
84486,91823,90.0,100.0,11.25,exact_normal
84486,91823,90.0,100.0,11.25,exact_normal
84486,91823,90.0,100.0,11.25,exact_normal
86442,86449,90.0,100.0,7.5441176470588225,exact_normal
86442,86449,90.0,100.0,7.5441176470588225,exact_normal
86442,86449,90.0,100.0,7.5441176470588225,exact_normal
86599,88392,90.0,100.0,11.66666666666667,exact_normal
86599,88392,90.0,100.0,11.66666666666667,exact_normal
86599,88392,90.0,100.0,11.66666666666667,exact_normal
87924,90375,90.0,100.0,9.722222222222221,exact_normal
87924,90375,90.0,100.0,9.722222222222221,exact_normal
87924,90375,90.0,100.0,9.722222222222221,exact_normal
88331,99372,90.0,100.0,9.642857142857144,exact_normal
88331,99372,90.0,100.0,9.642857142857144,exact_normal
88331,99372,90.0,100.0,9.642857142857144,exact_normal
89637,91152,90.0,100.0,10.344827586206899,exact_normal
89637,91152,90.0,100.0,10.344827586206899,exact_normal
89637,91152,90.0,100.0,10.344827586206899,exact_normal
90892,96201,90.0,100.0,12.0,exact_normal
90892,96201,90.0,100.0,12.0,exact_normal
90892,96201,90.0,100.0,12.0,exact_normal
91119,95090,63.18181818181818,86.36363636363636,75.0,fuzzy_normal
92407,92408,93.33333333333333,100.0,60.390625,exact_normal
92407,92408,93.33333333333333,100.0,60.390625,exact_normal
92407,92408,93.33333333333333,100.0,60.390625,exact_normal
92503,92506,93.33333333333333,100.0,61.03225806451613,exact_normal
92503,92506,93.33333333333333,100.0,61.03225806451613,exact_normal
92503,92506,93.33333333333333,100.0,61.03225806451613,exact_normal
99455,99456,76.875,93.75,100.0,fuzzy_normal
