index,Crefo,Strasse_raw,HausNummer_raw,Plz_raw,Ort_raw,street_norm,house_norm,plz4_used,ort_norm,swis_match_type,swis_changed,swis_adr_egaid,swis_bdg_egid,swis_street_ref,swis_house_ref,swis_plz4_ref,swis_ort_ref
8708,423557342,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8709,428672088,Steinhaldenstrasse,73,800200,Zürich,steinhaldenstrasse,73,8002,zuerich,strict,False,100125772,143975,Steinhaldenstrasse,73,8002,Zürich
8710,423573132,Steinhaldenstrasse,67f,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,True,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8711,405505258,Steinhaldenstrasse,73,800200,Zürich,steinhaldenstrasse,73,8002,zuerich,strict,False,100125772,143975,Steinhaldenstrasse,73,8002,Zürich
8712,423724531,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8713,428579275,Steinhaldenstrasse,65,800200,Zürich,steinhaldenstrasse,65,8002,zuerich,strict,False,100125763,143966,Steinhaldenstrasse,65,8002,Zürich
8714,423868393,Steinhaldenstrasse,51,800200,Zürich,steinhaldenstrasse,51,8002,zuerich,strict,False,100128384,143945,Steinhaldenstrasse,51,8002,Zürich
8715,402810840,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8716,423909817,Steinhaldenstrasse,49,800200,Zürich,steinhaldenstrasse,49,8002,zuerich,strict,False,100128383,143944,Steinhaldenstrasse,49,8002,Zürich
8717,428435626,Steinhaldenstrasse,60,800200,Zürich,steinhaldenstrasse,60,8002,zuerich,strict,False,100125759,143962,Steinhaldenstrasse,60,8002,Zürich
8718,423962204,Steinhaldenstrasse,51,800200,Zürich,steinhaldenstrasse,51,8002,zuerich,strict,False,100128384,143945,Steinhaldenstrasse,51,8002,Zürich
8719,403023034,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8720,424011176,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8721,428451746,Steinhaldenstrasse,63,800200,Zürich,steinhaldenstrasse,63,8002,zuerich,strict,False,100125761,143964,Steinhaldenstrasse,63,8002,Zürich
8722,424164876,Steinhaldenstrasse,49,800200,Zürich,steinhaldenstrasse,49,8002,zuerich,strict,False,100128383,143944,Steinhaldenstrasse,49,8002,Zürich
8723,402432927,Steinhaldenstrasse,67,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,False,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8724,401999153,Steinhaldenstrasse,52,800200,Zürich,steinhaldenstrasse,52,8002,zuerich,strict,False,100128373,143934,Steinhaldenstrasse,52,8002,Zürich
8725,421781137,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8726,401959616,Steinhaldenstrasse,69,800200,Zürich,steinhaldenstrasse,69,8002,zuerich,strict,False,100125767,143970,Steinhaldenstrasse,69,8002,Zürich
8727,402435562,Steinhaldenstrasse,68,800200,Zürich,steinhaldenstrasse,68,8002,zuerich,strict,False,100125766,143969,Steinhaldenstrasse,68,8002,Zürich
